text,sentiment
สุดที่รักเธอโทรมาหา ช่วยรับสายหน่อยสิจ้ะ,positive
อย่าให้เขาต้องรอนานอย่างนี้เลย ผิดไปแล้ว,negative
รักเธอมากเกินไป จนต้องทุกข์ใจเพราะเธอไม่แคร์ในสายตา,negative
ขอให้มีความสุข สุขสันต์วันเกิดนะ คุณย่า,positive
กากวะ ไอ้เมากาวสายนู้ป กูไม่เคยได้คะแนนน้อยขนาดมึง,negative
ก็แค่พวกชอบนินทาชาวบ้าน,negative
ย้ายที่สักทีเถอะ หนูเบื่อยัยไร้ความรู้สึกคนนี้ จนจะทนต่อไปไม่ไหวแล้ว,negative
สุขกันเถอะเรา เศร้าไปไม่ได้อะไร ยิ้มเยอะๆเด้ออ,positive
ทุกอย่างไม่เที่ยงแท้ สักวันเธอก็ต้องแก่และมีผมขาวขึ้นเหมือนลุง ไมตรี,negative
แกเราได้เกรดสี่ เคมีอินทรีย์เว้ยเฮ้ย,positive
แววนี่ คนขี้อวด 2018 ส่งเข้าประกวด,negative
แต่ก็แววมันมีดีให้อวดอ่ะ หรือว่ามันไม่จริง,positive
เอมี่เดินออกจากวงสนทนาเงียบๆ รังเกียจพวกชอบดราม่าเกินเหตุ,negative
ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้ห่วยแตก มาก มว๊ากแก,negative
กชพรเป็นนักเรียนที่ดี ไม่เคยมาโรงเรียนเลทตั้งแต่เปิดเทอมมา,positive
เบื่อพวกชอบอวดแฟนให้กับคนที่เพิ่งอกหักหมาดๆ แบบกูว่ะ เต้,negative
สารสื่อประสาทแอซิติลโคลีน ช่วยกระตุ้นให้ความจำดีขึ้นได้ค่ะ,positive
สารสื่อประสาทเอนดอร์ฟินจากสมอง ลดความรู้สึกเจ็บปวดลงได้,positive
หยุดเถอะ ขอละนะ มันน่ารำคาญ,negative
น่าสงสารลูกวัยสี่ขวบ พ่อถูกวิสามัญ แม่ต้องติดคุกตลอดชีวิตเพราะค้ายา,negative
กระแสประสาทจึงส่งไปสมองน้อยลง ทำให้สงบไม่วิตกกังวล,positive
สาบานเหอะว่าที่แกพูดนะ แกไม่รู้ความหมาย กูไม่เชื่อหรอกโว้ย,negative
ขอพระองค์ทรงพระเจริญยิ่งยืนนาน,positive
พระองค์ทรงเปี่ยมล้นด้วยทศพิธราชธรรม,positive
แต๊งกิ้ว,positive
ไม่เป็นไร ขอบคุณที่นึกถึงเรานะพิม,positive
อย่าไปเชื่ออิพลอย พลอยแม่งชอบโกหก,negative
อยากให้ดูวิดีโอก็ดูไม่ได้,negative
ครูลืมสั่งงานน่ะนักเรียน,negative
คิดตัวอย่างไม่ออกแล้ว ไม่นะม่ายยยย,negative
จะแปบหนึ่งอีกกี่ครั้ง เราทนไม่ไหวแล้วจิงๆ,negative
ดีใจด้วยครับ พี่แบม,positive
ยินดี เป็นเรื่องที่น่ายินดีมาก,positive
ขี้เกียจทำงานชีวะอ่ะ,negative
น่ารัก น่ากอด หลานใครเนี่ย,positive
เราก้ชอบเทอเหมือนกันจ้าาา ตกลงครัช,positive
ฐิตาแม่งเย็นชาที่สุดในสามโลก,negative
ไม่ ไม่ปฏิเสธ ขอบคุณสำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ,positive
รอรถไฟฟ้าบีทีเอสนานมากๆวันนี้,negative
เทอมนี้เรียนได้เกรดสี่ทุกวิชา,positive
พราวตาอักเสบ เนื่องจากอุบัติเหตุแสงแฟรชเข้าตาอย่างจัง,negative
แก้มเป็นคนดี มีน้ำใจ ตั้งใจเรียนสม่ำเสมอ,positive
เธอช่างติและยุยง เพื่อให้คนอื่นแตกคอกันโดยแท้,negative
ทำได้แล้ว ดีใจมาก,positive
โห สูงขึ้นเยอะเลยนะ น้องเนม,positive
น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน,positive
อรุณสวัสดิ์ หัวหินอากาศดีเนอะ,positive
สวยจัง พี่เบล,positive
แม่เจ้า น้องหมาทำห้องเละอีกหรอ เป็นลมแปบ,negative
เป็นงานที่ดูดีมาก ยอดเยี่ยม,positive
เราก็อยากจะทำแบบที่แกบอก แต่ตอนนั้นเรายังไม่กล้าพอ,negative
แย่ว่ะ มึงคิดถึงจิตใจแฟนมึงด้วยสิ เขาจะรับได้หราว่ะ,negative
ขอบคุณแฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ,positive
เฟิร์นป่วยเป็นโรคไข้เลือดออกอ่ะ ตอนนี้นอนอยู่โรงบาลปิยะเวท,negative
เมื่อเช้าวันนี้ไปรษณีย์ราชเทวีไฟไหม้ มีผู้บาดเจ็บสาหัส 2 ราย,negative
พี่นารีถูกหวยเลขท้ายสามตัวมา 2 เดือนติดแล้วฮะ แม่,positive
เจ้าประคุณฉันไม่เคยเจอใคร ขยันในเรื่องโง่เง่าเต่าตุนได้ดีเท่าเทอเลย,negative
ชอบมากครับ พี่ป๊อบตาแหลม น้ำใจงามจริงๆ,positive
นาฬิกาเรือนดังกล่าว งดงามเหลือเกิน,positive
เคนทำอาหารเก่งตั้งแต่เด็กเชียวแหละ,positive
โอ๋มันก็อ้วนมาตั้งแต่ไหนแต่ไรแล้วละ หนูเอ๋ย,negative
แล้วไอ้วิน มึงจะให้อีดอกฉายไม่ทำเหี้ยไรเลย ไม่ได้นะเว้ย,negative
บ้านเมืองนี้เป็นบ้านที่ดี ดั่งสวนสวรรค์สราญใจ,positive
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า,negative
สินค้าด้อยคุณภาพ,negative
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย,negative
อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ,negative
คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก,negative
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,negative
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์,negative
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว,negative
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย,negative
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี,negative
ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ,positive
สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก,positive
ใช้ดีค่ะหน้านุ่มและขาวขึ้น,positive
จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี,positive
ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยังบรรจุภัณฑ์คับ,positive
สินค้าส่งรวดเร็ว พอใจในสินค้าครับ,positive
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ,positive
ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย,positive
ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม,positive
สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ,positive
ใช้เดือนเดียวพังแย่ๆมากๆ,negative
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!! ,negative
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง,negative
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้,negative
ผิดหวัง ลบไม่ออก,negative
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,negative
ส่งช้ามาก ตอนนี้ยังไม่ได้ของ,negative
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,negative
สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน,negative
ช้าสุดๆรอจนรำคาญละ,negative
คุณภาพคุ้มค่าครับ,positive
ส่งเร็วดี ใช้ดีคุ้มมาก ราคาถูก,positive
ได้รับสินค้าเร็วค่ะ และสินค้าก็มีคุณภาพ สวมใส่สบายตัวมากๆๆ เลยค่ะ,positive
ได้รับของเร็วมาก.. แถมสินค้าได้ตามต้องการสวยมาก,positive
รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ,positive
ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ,positive
สินค้าใช้แล้วดีมากไม่ทำให้ลูกแพ้เลยแถมราคาถูกกว่าในห้างและตามร้านค้าอีก,positive
ใช้งานดีมากส่งของก็เร็วของครับ,positive
ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ,positive
วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ,positive
สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย,negative
ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก,negative
คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว,negative
ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ,negative
สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ,negative
รู้สึกผิดหวังมาก ไม่ใช่แบบที่หวังไว้เลยย,negative
แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา ,negative
งานไม่ค่อยดี ไม่สมกับราคา,negative
แย่มากเลย นมใกล้หมดอายุ ครั้งนี้ครั้งสุดท้ายนะคะที่จะสั่ง,negative
ใช้ได้ไม่กี่เดือนก็พังล่ะยังใช้ไม่คุ้มกับราคาที่ซื้อมาเลย,negative
ใส่สบายสั่งหลายรอบแล้วจร้าาา,positive
ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ,positive
ใช้งานได้ดีราคาไม่แพงมาก,positive
ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ,positive
รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา,positive
ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ,positive
คุณภาพพอใช้ได้  ดูบอบบางจัง ต้องดูระยะการใช้งานระยะยาวค่ะรวม ๆ ถือว่าโอเคค่ะ,positive
สินค้าแพคอย่างดี ที่สำคัญส่งขอเร็วมาก คิดว่าจะได้ช้าเสียอีก,positive
ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ,positive
ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก,positive
เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา สั่งของก็บ่อยต่อไปไม่สั่งแล้ว แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,negative
แย่มากอย่าสั่งนะ,negative
แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย ,negative
แย่มากเสียดายเงิน,negative
สินค้ามีรอยตำหนิ เป็นรอยง่าย ,negative
สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว,negative
สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก,negative
ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ,negative
แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก,negative
ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ ไม่เป็นแผลแต่เป็นดำๆ ที่มือ แสบเล็กน้อย,negative
สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้,positive
ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี,positive
ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ,positive
แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ,positive
จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก,positive
พกพาสะดวก ได้ของเร็ว,positive
โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม,positive
ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ,positive
ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ,positive
ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ,positive
ไม่พึงพอใจเลย  สินค้าผลิตจากพลาสติกด้อยคุณภาพ  ก๊องแก๊งมาก,negative
แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย,negative
คุณภาพสินค้าไม่น่าประทับใจ,negative
วัสดุแย่ ขาดง่าย เสียดายเงิน,negative
อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ,negative
แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย ,negative
เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้,negative
คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย,negative
เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก มันเหมือนกันมากเลยหรือ ส่งผิดรุ่นได้,negative
หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร,negative
ส่งเร็วทันใช้ตามความต้องการ,positive
เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา,positive
ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก,positive
สมราคาค่ะ ภาพชัดเจน เทียบกับยี่ห้ออื่นราคาถูกกว่า,positive
สวยมาใช้งานง่ายมากที่สำคัญส่งเร็วมาก,positive
เสียงดี ส่งเร็ว ราคานี้คุ้มครับ ,positive
ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก,positive
สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสดุด สมกับราคา และคุ้มค่ามากๆเลย,positive
ใช้ดีส่งของไว มากเจ้านี้  วัสดุคุณภาพจริงจริง,positive
แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ☺,positive
เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน,negative
สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ,negative
ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด ,negative
ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก,negative
ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ,negative
สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ,negative
แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!,negative
ใช้ได้แป็บเดียวพังแล้ว,negative
สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก,negative
ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว,negative
ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ,positive
โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย,positive
เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี,positive
คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี,positive
เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ,positive
ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก,positive
ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่,positive
จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ ,positive
แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ,positive
ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม,positive
เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง,negative
มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย,negative
สินค้าคุณภาพไม่ค่อยดี,negative
สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ,negative
เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก,negative
ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ,negative
สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริงในห้างเลย เสียดายตังค์ ซื้อมาทิ้ง,negative
รายการไม่ดี ที่จับไม่ดีและสั้น,negative
